id,x,y,ra,dec,SEflags,iso_area,fap_Ksall,eap_Ksall,apcorr,Ks_ratio,fapcirc09_Ksall,eapcirc09_Ksall,apcorr09,fcirc09_Ksall,ecirc09_Ksall,fauto_Ksall,flux50_radius,a_vector,b_vector,kron_radius,f_Ksall,e_Ksall,w_Ksall,f_u,e_u,w_u,f_B,e_B,w_B,f_V,e_V,w_V,f_R,e_R,w_R,f_i,e_i,w_i,f_z,e_z,w_z,f_J1,e_J1,w_J1,f_J2,e_J2,w_J2,f_J3,e_J3,w_J3,f_Hs,e_Hs,w_Hs,f_Hl,e_Hl,w_Hl,f_Ks,e_Ks,w_Ks,f_J,e_J,w_J,f_H,e_H,w_H,f_K,e_K,w_K,f_KsHI,e_KsHI,w_KsHI,f_F125W,e_F125W,w_F125W,f_F140W,e_F140W,w_F140W,f_F160W,e_F160W,w_F160W,f_F606W,e_F606W,w_F606W,f_F814W,e_F814W,w_F814W,f_Y,e_Y,w_Y,f_IRAC_36,e_IRAC_36,w_IRAC_36,f_IRAC_45,e_IRAC_45,w_IRAC_45,f_IRAC_58,e_IRAC_58,w_IRAC_58,f_IRAC_80,e_IRAC_80,w_IRAC_80,wmin_optical,wmin_hst_optical,wmin_fs,wmin_jhk,wmin_hst,wmin_irac,wmin_all,star,nearstar,use,snr,use_nosnr,z_spec,z_peak,f24,e24,Messias Selection,Lacy Selection,Donley Selection
1255,3702.223,404.058,34.274353,-5.2998457,0,94.0,1.520663,0.07361902,1.11729,2.240433,1.347189,0.07444515,1.771907,2.387094,0.1319099,3.049293,3.263,2.716,2.321,7.532,3.406943,0.2507664,0.76,-0.004072970976,0.07619769648000001,1.0,0.02888657568,0.01296261684,1.0,0.200531806,0.01600816015,1.0,0.6668458192,0.020387642879999997,1.0,0.7945062594000001,0.02088027984,1.0,1.024736906,0.05759092148,1.0,0.5091055434,0.40337115560000003,0.16,1.538018937,0.41411693609999994,0.12,1.459863771,0.4909950146,0.12,1.14647,0.671715,0.18,1.821298284,0.7209248832,0.16,2.045397645,0.9693908849999999,0.26,1.422667078,0.16074303980000001,1.0,1.136603736,0.3277269302,1.0,3.4500276,0.19496456460000003,1.09,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,5.7509423316,0.1421636891,0.89,6.8136887196,0.16026167682,0.98,11.312602656,3.3470865663,1.0,8.608184499800002,4.0969382349000005,1.0,1.0,0.0,0.12,0.0,0.0,1.0,0.77,0,0,1,18.0964,1,-99.0,4.1671,-17.03,10.27,0,1,1.0
1271,3139.216,430.195,34.2979164,-5.2987609,3,209.0,4.090831,0.07459414,1.061427,2.596496,3.548634,0.07543122,1.771907,6.287851,0.1336571,10.00712,3.884,3.936,3.047,10.389,10.62183,0.3518022,0.75,0.1618622445,0.08758649016,1.0,0.19764186839999998,0.015090192719999998,1.0,0.2836985035,0.018499474749999998,1.0,0.41420732959999995,0.023690966079999997,1.0,0.7763436954,0.02406323976,1.0,1.2086911980000001,0.06662078728,1.0,2.9753756140000003,0.4152986584000001,0.2,3.0902912459999996,0.38280367439999996,0.19,4.4095743579999995,0.46664002639999996,0.18,7.20158,0.639751,0.26,8.605635426,0.6744803499,0.25,10.112832135,1.0117543439999999,0.32,4.573332582,0.1871939748,1.0,7.053962427,0.3818240892,1.0,10.89873009,0.2256801561,1.1,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,21.423645436,0.14471976330000003,0.97,27.061479648000002,0.15926519224000002,1.1,20.476262798999997,3.6033656022,1.0,21.289032776,4.0424920555,1.0,1.0,0.0,0.18,0.0,0.0,1.0,0.75,0,0,1,47.04464,1,-99.0,1.6026,42.53,11.9,0,1,
1349,2606.154,447.794,34.3202248,-5.2980313,3,257.0,5.963358,0.07314558,1.054305,2.89867,4.771308,0.0739664,1.771907,8.454315,0.1310616,16.39545,4.374,3.995,3.371,11.009,17.28581,0.3671616,0.78,0.144420882,0.09726839849999999,1.0,0.18015819479999998,0.016869013199999998,1.0,0.297799498,0.020739050749999998,1.0,0.46593316799999995,0.026402775999999996,1.0,0.6472345404000001,0.026776052100000003,1.0,1.2586861619999998,0.07448710122,1.0,1.0898029720000002,0.6198178190000001,0.11,3.095785161,0.5105397654,0.13,4.691353895,0.6427733626,0.12,8.13845,0.873974,0.17,8.887086423,1.0338187248,0.13,20.0656926,1.4410424999999998,0.2,3.9919153400000003,0.20990769939999998,1.0,9.702480676999999,0.4277961797,1.0,17.940249090000002,0.2530871838,1.1,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,38.372382793,0.15054757087999998,1.12,49.709628668,0.19217282392,1.03,51.575964191999994,4.116532899599999,1.0,53.557196664,4.9791809407,1.0,1.0,0.0,0.11,0.0,0.0,1.0,0.78,0,0,1,64.50643,1,-99.0,2.1334,133.5,9.969000000000001,0,1,
1363,925.832,479.013,34.3905411,-5.2967362,3,327.0,9.031694,0.07951763,1.049134,2.626737,7.49832,0.08040995,1.771907,13.28633,0.142479,22.61283,4.058,4.068,3.631,11.53,23.72389,0.4196708,0.66,0.18262546649999997,0.08924025135,1.0,0.6557586768,0.015200025479999999,1.0,1.036009052,0.0187748272,1.0,1.3203768959999997,0.02400960064,1.0,1.7232468120000002,0.024357057480000003,1.0,2.265239448,0.06818098183999999,1.0,3.1871916120000003,0.35294743600000006,0.28,4.270836024,0.3028050837,0.3,7.347872044000001,0.3882005119,0.27,11.2094,0.54672,0.35,13.72333428,0.5569166232,0.34,25.119231899999996,0.9817179134999998,0.36,6.210973146000001,0.1914470964,1.0,14.01554984,0.3876105078,1.0,24.752786760000003,0.24124328550000002,1.02,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,45.742434866,0.17548530879,1.07,57.688832852000004,0.19283823860000002,1.08,72.238903122,3.5594364047999996,1.0,46.14710269700001,4.518726621200001,1.0,1.0,0.0,0.27,0.0,0.0,1.0,0.66,0,0,1,93.25115,1,-99.0,2.2602,134.7,12.65,0,1,
1377,976.551,445.428,34.3884201,-5.2981353,3,95.0,1.398061,0.07951763,1.10175,2.328932,1.190085,0.08040995,1.771907,2.108721,0.142479,2.955288,3.551,3.01,2.42,8.097,3.255988,0.2892184,0.66,1.0639845573000002,0.07919441058,1.0,1.12570182,0.01347125112,1.0,1.254215985,0.0166337669,1.0,1.331660576,0.021266527679999998,1.0,1.301281023,0.021600603989999998,1.0,1.272543679,0.06045673992,1.0,1.307995048,0.378978782,0.19,1.9305411929999998,0.3366907299,0.19,1.94070222,0.4364543795,0.17,3.90342,0.571625,0.25,2.975540022,0.6000106725,0.23,4.06399509,0.954625251,0.3,2.081387112,0.1696341192,1.0,1.7372291260000001,0.3436147256,1.0,3.0669879690000004,0.2129726952,1.03,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,2.1136508248,0.17193488221000003,1.05,2.6963734714000003,0.18877708038000002,1.1,9.036529095,3.4044456044999998,1.0,8.6488844816,4.5844202656,1.0,1.0,0.0,0.17,0.0,0.0,1.0,0.66,0,0,1,14.80023,1,-99.0,2.186,-21.2,9.762,0,1,1.0
1393,1841.552,440.878,34.3522224,-5.2983232,3,51.0,0.8584244,0.07613233,1.158873,2.280467,0.6967885,0.07698667,1.771907,1.234645,0.1364132,1.689235,3.499,3.444,1.344,6.454,1.957609,0.2223073,0.72,0.1337486883,0.07718426955,1.0,0.60612345,0.013190455439999998,1.0,0.871633149,0.01638982835,1.0,0.873330952,0.020686401599999998,1.0,0.6747578859,0.02113075062,1.0,0.5684639216,0.05891962457,1.0,0.3656933916000001,0.36102035680000005,0.2,0.3680666325,0.3308425344,0.19,1.042514038,0.4289611635,0.17,1.50899,0.564136,0.25,1.2777546419999999,0.599798682,0.23,2.3892378299999995,0.9291352829999999,0.3,1.4209473739999998,0.1657071122,1.0,2.0488649960000003,0.33569181719999996,1.0,2.108876877,0.20185617420000002,1.09,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,12.708638698,0.2579908708,0.91,4.432409874200001,0.2984034837,1.0,12.939570977999999,5.0278537644,1.0,10.225350298,6.971840981700001,1.0,1.0,0.0,0.17,0.0,0.0,1.0,0.72,0,0,1,9.050769,1,-99.0,0.1859,19.740000000000002,10.76,0,1,
1426,662.957,471.537,34.4015427,-5.2970476,0,182.0,5.331717,0.07833952,1.079646,2.142441,4.668251,0.07921863,1.771907,8.271707,0.140368,10.58022,3.298,3.281,2.837,9.153,11.42289,0.3231379,0.68,2.507011845,0.07254941147999999,1.0,3.968623728,0.01242621648,1.0,6.47357136,0.015352528550000001,1.0,7.645376432,0.019610828799999997,1.0,8.592452085,0.019828184880000002,1.0,9.315538463000001,0.05554856126,1.0,9.542374264000001,0.3183099348,0.23,10.3994163,0.29570817779999997,0.21,10.664088450000001,0.4046214468,0.17,11.9856,0.591444,0.2,12.20951529,0.6214030992,0.18,10.89460035,2.1346891049999996,0.05,11.248961360000001,0.1559939304,1.0,12.507634340000001,0.315513367,1.0,11.897316720000001,0.2005122681,0.98,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,6.4571945762,0.12945132756,1.08,4.876285062600001,0.15849027376,1.0,10.600435847999998,2.9881127004,1.0,7.2732307997,4.4261615683999995,1.0,1.0,0.0,0.17,0.0,0.0,1.0,0.68,0,0,1,58.9287,1,-99.0,0.1962,36.6,10.42,0,1,1.0
1445,2026.17,480.669,34.3444939,-5.2966642,0,192.0,5.690551,0.07314558,1.0773,2.259975,5.027764,0.0739664,1.771907,8.908732,0.1310616,11.93771,3.41,3.273,2.929,9.289,12.86051,0.3063917,0.78,0.4055292795,0.07618015910999999,1.0,0.7315947827999999,0.013100103719999999,1.0,0.9762189975,0.016250923349999998,1.0,0.9732287871999998,0.020523461119999996,1.0,1.328299308,0.020915388899999998,1.0,1.9030357249999998,0.05829328878,1.0,2.304885026,0.29265061280000004,0.3,4.20022638,0.25739248499999995,0.31,6.39285352,0.323032949,0.29,8.6105,0.460717,0.37,8.942876118000001,0.4768597035,0.36,14.867198249999998,0.7764422069999999,0.42,5.317932956,0.16427262739999998,1.0,9.113995939999999,0.333221708,1.0,13.494379680000002,0.19962231300000002,1.09,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,26.05843814,0.1503788991,0.9,32.026156792,0.15782711056,1.01,32.611241621999994,3.3578062490999994,1.0,24.710120872,4.8420199532,1.0,1.0,0.0,0.29,0.0,0.0,1.0,0.78,0,0,1,67.97363,1,-99.0,1.9885,119.0,10.75,0,1,
1454,3131.75,468.877,34.2982292,-5.2971492,2,102.0,1.689845,0.07361902,1.097529,2.262687,1.57532,0.07444515,1.771907,2.791321,0.1319099,3.483816,3.247,3.394,2.24,8.272,3.82359,0.2736245,0.77,1.474316772,0.07629127179,1.0,1.595687508,0.013157091359999998,1.0,1.727476005,0.01613061025,1.0,1.6893635839999999,0.02065503504,1.0,1.801712619,0.02096952354,1.0,1.945987034,0.05807888192,1.0,2.7498877340000005,0.29596472660000006,0.3,2.775258864,0.2581072074,0.32,4.120596854,0.3185879244,0.29,3.5159,0.466979,0.37,3.3399465210000003,0.490432266,0.36,2.5544844599999994,0.7424750804999999,0.45,3.519290348,0.163183132,1.0,4.116454657,0.332824016,1.0,4.0207812480000005,0.19672336080000002,1.1,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,5.4819451591999995,0.13712391774,0.95,5.582298020600001,0.14825146378,1.07,16.015275536999997,3.3060881471999997,1.0,11.777257565000001,3.6871893886000002,1.0,1.0,0.0,0.29,0.0,0.0,1.0,0.77,0,0,1,21.16081,1,-99.0,1.7387,-0.3543,11.36,0,1,1.0
1469,3129.212,571.211,34.298336,-5.2928848,2,1168.0,168.695,0.07222547,1.032963,2.540281,154.1307,0.07303596,1.771907,273.1053,0.1294129,414.8577,3.837,4.835,4.295,13.671,428.5327,0.4597736,0.8,7.033291833,0.0855887661,1.0,11.688512039999999,0.0147910356,1.0,27.90120625,0.01812870525,1.0,53.973878719999995,0.023222538079999997,1.0,77.10469347,0.02355170664,1.0,114.26406970000001,0.06527579886000001,1.0,139.56067000000002,0.22791740340000002,0.64,157.0427901,0.20781272609999998,0.63,213.65133930000002,0.2463018063,0.6,279.777,0.375183,0.72,315.793458,0.4044644307,0.67,439.9752674999999,0.636209097,0.77,203.6255368,0.18339279979999998,1.0,326.869683,0.3739950803,1.0,447.0773373,0.22192925400000002,1.09,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,337.25797623,0.14854721924,0.91,329.77499198,0.16701928936000002,1.04,289.3508028,3.4633333061999996,1.0,681.56311185,4.088842172300001,1.0,1.0,0.0,0.6,0.0,0.0,1.0,0.8,0,0,1,2110.34,1,-99.0,0.4206,1160.0,11.54,0,1,
